É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/15 06:11:32

,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),èˆãCà≥(hPa),èˆãCà≥(hPa),èˆãCà≥(hPa)
,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1995/8/2 1:00:00,24.6,8,1,0,1,8,1,,,0,1,1.6,8,ìåìÏìå,8,1,,0,1,85,8,1,26.4,8,1
1995/8/2 2:00:00,24.8,8,1,0,1,8,1,,,0,1,1.8,8,ìåìÏìå,8,1,,0,1,83,8,1,26.0,8,1
1995/8/2 3:00:00,24.2,8,1,0,1,8,1,,,0,1,2.1,8,ìåìÏìå,8,1,,0,1,84,8,1,25.3,8,1
1995/8/2 4:00:00,24.4,8,1,0,1,8,1,,,0,1,2.2,8,ìåìÏìå,8,1,,0,1,84,8,1,25.6,8,1
1995/8/2 5:00:00,24.3,8,1,0,1,8,1,,,0,1,1.9,8,ìåìÏìå,8,1,,0,1,83,8,1,25.3,8,1
1995/8/2 6:00:00,24.5,8,1,0,1,8,1,0,1,8,1,1.5,8,ìÏìå,8,1,,0,1,83,8,1,25.6,8,1
1995/8/2 7:00:00,25.2,8,1,0,1,8,1,0,1,8,1,2.1,8,ìÏìå,8,1,,0,1,81,8,1,26.1,8,1
1995/8/2 8:00:00,28.1,8,1,0,1,8,1,0.9,0,8,1,1.5,8,ìÏ,8,1,,0,1,73,8,1,27.8,8,1
1995/8/2 9:00:00,29.5,8,1,0,1,8,1,0.7,0,8,1,1.2,8,ìå,8,1,,0,1,68,8,1,28.1,8,1
1995/8/2 10:00:00,30.9,8,1,0,1,8,1,0.1,0,8,1,1.3,8,ìÏìÏìå,8,1,,0,1,61,8,1,27.1,8,1
1995/8/2 11:00:00,31.1,8,1,0,1,8,1,0.3,0,8,1,2.4,8,êº,8,1,,0,1,60,8,1,27.1,8,1
1995/8/2 12:00:00,32.7,8,1,0,1,8,1,0.5,0,8,1,2.8,8,ñkêº,8,1,,0,1,58,8,1,28.6,8,1
1995/8/2 13:00:00,31.7,8,1,0,1,8,1,0,1,8,1,3.1,8,ñkêº,8,1,,0,1,63,8,1,29.3,8,1
1995/8/2 14:00:00,32.6,8,1,0,1,8,1,0.1,0,8,1,3.6,8,ñkñkêº,8,1,,0,1,57,8,1,28.1,8,1
1995/8/2 15:00:00,31.8,8,1,0,1,8,1,0.5,0,8,1,4.8,8,ñkñkêº,8,1,,0,1,65,8,1,30.4,8,1
1995/8/2 16:00:00,30.6,8,1,0,1,8,1,0.2,0,8,1,3.2,8,ñkñkêº,8,1,,0,1,71,8,1,31.1,8,1
1995/8/2 17:00:00,31.1,8,1,0,1,8,1,1.0,0,8,1,4.4,8,ñkñkêº,8,1,,0,1,68,8,1,30.9,8,1
1995/8/2 18:00:00,29.6,8,1,0,1,8,1,0.6,0,8,1,3.0,8,ñkñkêº,8,1,,0,1,72,8,1,30.0,8,1
1995/8/2 19:00:00,28.8,8,1,0,1,8,1,0,1,8,1,1.4,8,ìåñkìå,8,1,,0,1,74,8,1,29.3,8,1
1995/8/2 20:00:00,27.9,8,1,0,1,8,1,0,1,8,1,1.6,8,ìåìÏìå,8,1,,0,1,78,8,1,29.3,8,1
1995/8/2 21:00:00,27.6,8,1,0,1,8,1,,,0,1,1.4,8,ìÏìå,8,1,,0,1,81,8,1,29.8,8,1
1995/8/2 22:00:00,26.8,8,1,0,1,8,1,,,0,1,2.1,8,ìÏìå,8,1,,0,1,82,8,1,28.9,8,1
1995/8/2 23:00:00,26.3,8,1,0,1,8,1,,,0,1,1.3,8,ìÏìå,8,1,,0,1,84,8,1,28.8,8,1
1995/8/3 00:00:00,25.4,8,1,0,1,8,1,,,0,1,1.8,8,ìåìÏìå,8,1,,0,1,85,8,1,27.6,8,1
1995/8/3 1:00:00,25.4,8,1,0,1,8,1,,,0,1,2.5,8,ìÏìå,8,1,,0,1,84,8,1,27.2,8,1
1995/8/3 2:00:00,24.9,8,1,0,1,8,1,,,0,1,1.7,8,ìÏìå,8,1,,0,1,84,8,1,26.6,8,1
1995/8/3 3:00:00,24.3,8,1,0,1,8,1,,,0,1,2.3,8,ìåìÏìå,8,1,,0,1,86,8,1,26.1,8,1
1995/8/3 4:00:00,24.1,8,1,0,1,8,1,,,0,1,2.2,8,ìåìÏìå,8,1,,0,1,86,8,1,26.0,8,1
1995/8/3 5:00:00,24.0,8,1,0,1,8,1,,,0,1,1.2,8,ìÏìå,8,1,,0,1,86,8,1,25.6,8,1
1995/8/3 6:00:00,23.8,8,1,0,1,8,1,0.2,0,8,1,2.1,8,ìÏìå,8,1,,0,1,85,8,1,25.2,8,1
1995/8/3 7:00:00,25.5,8,1,0,1,8,1,1.0,0,8,1,3.1,8,ìåìÏìå,8,1,,0,1,81,8,1,26.3,8,1
1995/8/3 8:00:00,28.0,8,1,0,1,8,1,1.0,0,8,1,1.8,8,ìÏìå,8,1,,0,1,73,8,1,27.4,8,1
1995/8/3 9:00:00,31.0,8,1,0,1,8,1,1.0,0,8,1,1.0,8,ìÏìÏìå,8,1,,0,1,59,8,1,26.4,8,1
1995/8/3 10:00:00,33.0,8,1,0,1,8,1,1.0,0,8,1,2.3,8,ñkêº,8,1,,0,1,48,8,1,24.3,8,1
1995/8/3 11:00:00,33.1,8,1,0,1,8,1,1.0,0,8,1,4.9,8,ñkñkêº,8,1,,0,1,52,8,1,26.1,8,1
1995/8/3 12:00:00,33.2,8,1,0,1,8,1,1.0,0,8,1,5.1,8,ñkñkêº,8,1,,0,1,54,8,1,27.6,8,1
1995/8/3 13:00:00,33.1,8,1,0,1,8,1,1.0,0,8,1,4.8,8,ñkñkêº,8,1,,0,1,57,8,1,28.9,8,1
1995/8/3 14:00:00,31.7,8,1,0,1,8,1,1.0,0,8,1,4.7,8,ñkêº,8,1,,0,1,58,8,1,27.2,8,1
1995/8/3 15:00:00,32.3,8,1,0,1,8,1,1.0,0,8,1,4.4,8,ñkñkêº,8,1,,0,1,62,8,1,29.8,8,1
1995/8/3 16:00:00,31.9,8,1,0,1,8,1,1.0,0,8,1,3.2,8,ñkñkêº,8,1,,0,1,62,8,1,29.1,8,1
1995/8/3 17:00:00,31.5,8,1,0,1,8,1,1.0,0,8,1,2.2,8,ñkñkìå,8,1,,0,1,62,8,1,28.4,8,1
1995/8/3 18:00:00,30.8,8,1,0,1,8,1,1.0,0,8,1,2.4,8,ñkñkêº,8,1,,0,1,63,8,1,27.9,8,1
1995/8/3 19:00:00,29.7,8,1,0,1,8,1,0.8,0,8,1,2.1,8,ñkìå,8,1,,0,1,66,8,1,27.4,8,1
1995/8/3 20:00:00,28.9,8,1,0,1,8,1,0,1,8,1,2.3,8,ñk,8,1,,0,1,70,8,1,27.8,8,1
1995/8/3 21:00:00,27.3,8,1,0,1,8,1,,,0,1,1.7,8,ìå,8,1,,0,1,78,8,1,28.4,8,1
1995/8/3 22:00:00,26.3,8,1,0,1,8,1,,,0,1,2.0,8,ìåìÏìå,8,1,,0,1,82,8,1,27.9,8,1
1995/8/3 23:00:00,25.4,8,1,0,1,8,1,,,0,1,1.6,8,ìå,8,1,,0,1,83,8,1,26.9,8,1
1995/8/4 00:00:00,24.8,8,1,0,1,8,1,,,0,1,3.0,8,ìåìÏìå,8,1,,0,1,80,8,1,25.2,8,1
1995/8/4 1:00:00,24.4,8,1,0,1,8,1,,,0,1,2.1,8,ìÏìå,8,1,,0,1,81,8,1,24.9,8,1
1995/8/4 2:00:00,24.4,8,1,0,1,8,1,,,0,1,2.0,8,ìåìÏìå,8,1,,0,1,80,8,1,24.4,8,1
1995/8/4 3:00:00,23.9,8,1,0,1,8,1,,,0,1,2.1,8,ìåìÏìå,8,1,,0,1,83,8,1,24.6,8,1
1995/8/4 4:00:00,23.5,8,1,0,1,8,1,,,0,1,2.8,8,ìåìÏìå,8,1,,0,1,83,8,1,24.1,8,1
1995/8/4 5:00:00,23.5,8,1,0,1,8,1,,,0,1,2.4,8,ìåìÏìå,8,1,,0,1,83,8,1,24.1,8,1
1995/8/4 6:00:00,23.5,8,1,0,1,8,1,0.4,0,8,1,2.3,8,ìåìÏìå,8,1,,0,1,84,8,1,24.3,8,1
1995/8/4 7:00:00,26.0,8,1,0,1,8,1,1.0,0,8,1,2.3,8,ìåìÏìå,8,1,,0,1,78,8,1,26.3,8,1
1995/8/4 8:00:00,28.8,8,1,0,1,8,1,1.0,0,8,1,1.7,8,ìÏìå,8,1,,0,1,69,8,1,27.2,8,1
1995/8/4 9:00:00,31.5,8,1,0,1,8,1,1.0,0,8,1,0.9,8,ìÏìÏìå,8,1,,0,1,58,8,1,26.9,8,1
1995/8/4 10:00:00,33.2,8,1,0,1,8,1,1.0,0,8,1,1.0,8,ìÏ,8,1,,0,1,46,8,1,23.5,8,1
1995/8/4 11:00:00,34.7,8,1,0,1,8,1,1.0,0,8,1,3.0,8,ñkñkêº,8,1,,0,1,42,8,1,23.2,8,1
1995/8/4 12:00:00,34.7,8,1,0,1,8,1,1.0,0,8,1,4.8,8,ñkñkêº,8,1,,0,1,44,8,1,24.1,8,1
1995/8/4 13:00:00,33.6,8,1,0,1,8,1,1.0,0,8,1,3.2,8,ñkêº,8,1,,0,1,45,8,1,23.7,8,1
1995/8/4 14:00:00,34.7,8,1,0,1,8,1,1.0,0,8,1,4.2,8,ñkñkêº,8,1,,0,1,45,8,1,24.7,8,1
1995/8/4 15:00:00,33.6,8,1,0,1,8,1,1.0,0,8,1,3.2,8,ñkñkêº,8,1,,0,1,48,8,1,25.0,8,1
1995/8/4 16:00:00,32.4,8,1,0,1,8,1,1.0,0,8,1,2.8,8,ñkñkêº,8,1,,0,1,53,8,1,26.0,8,1
1995/8/4 17:00:00,31.6,8,1,0,1,8,1,1.0,0,8,1,3.4,8,ñkñkêº,8,1,,0,1,57,8,1,26.4,8,1
1995/8/4 18:00:00,30.2,8,1,0,1,8,1,1.0,0,8,1,3.5,8,ñkêº,8,1,,0,1,62,8,1,26.4,8,1
1995/8/4 19:00:00,29.0,8,1,0,1,8,1,0.4,0,8,1,2.1,8,ñkñkìå,8,1,,0,1,68,8,1,27.2,8,1
1995/8/4 20:00:00,28.4,8,1,0,1,8,1,0,1,8,1,1.8,8,ñkêº,8,1,,0,1,70,8,1,27.1,8,1
1995/8/4 21:00:00,26.7,8,1,0,1,8,1,,,0,1,1.8,8,ìåìÏìå,8,1,,0,1,79,8,1,27.6,8,1
1995/8/4 22:00:00,26.0,8,1,0,1,8,1,,,0,1,1.6,8,ìÏìå,8,1,,0,1,76,8,1,25.5,8,1
1995/8/4 23:00:00,25.4,8,1,0,1,8,1,,,0,1,2.2,8,ìÏìå,8,1,,0,1,76,8,1,24.6,8,1
1995/8/5 00:00:00,25.4,8,1,0,1,8,1,,,0,1,2.4,8,ìÏìå,8,1,,0,1,71,8,1,23.1,8,1
1995/8/5 1:00:00,25.2,8,1,0,1,8,1,,,0,1,3.3,8,ìåìÏìå,8,1,,0,1,72,8,1,23.1,8,1
1995/8/5 2:00:00,24.2,8,1,0,1,8,1,,,0,1,1.9,8,ìåìÏìå,8,1,,0,1,78,8,1,23.7,8,1
1995/8/5 3:00:00,24.1,8,1,0,1,8,1,,,0,1,1.1,8,ìÏìå,8,1,,0,1,76,8,1,22.8,8,1
1995/8/5 4:00:00,23.5,8,1,0,1,8,1,,,0,1,2.8,8,ìåìÏìå,8,1,,0,1,77,8,1,22.4,8,1
1995/8/5 5:00:00,23.2,8,1,0,1,8,1,,,0,1,1.7,8,ìåìÏìå,8,1,,0,1,77,8,1,21.8,8,1
1995/8/5 6:00:00,23.1,8,1,0,1,8,1,0,1,8,1,1.7,8,ìåìÏìå,8,1,,0,1,79,8,1,22.4,8,1
1995/8/5 7:00:00,25.3,8,1,0,1,8,1,1.0,0,8,1,2.0,8,ìÏìå,8,1,,0,1,73,8,1,23.5,8,1
1995/8/5 8:00:00,27.8,8,1,0,1,8,1,1.0,0,8,1,1.4,8,ìÏìå,8,1,,0,1,69,8,1,26.0,8,1
1995/8/5 9:00:00,30.0,8,1,0,1,8,1,1.0,0,8,1,0.9,8,ìÏìå,8,1,,0,1,62,8,1,26.4,8,1
1995/8/5 10:00:00,32.7,8,1,0,1,8,1,1.0,0,8,1,2.8,8,êºñkêº,8,1,,0,1,48,8,1,23.7,8,1
1995/8/5 11:00:00,31.6,8,1,0,1,8,1,1.0,0,8,1,5.4,8,ñkêº,8,1,,0,1,47,8,1,21.7,8,1
1995/8/5 12:00:00,32.2,8,1,0,1,8,1,1.0,0,8,1,5.2,8,ñkêº,8,1,,0,1,51,8,1,24.4,8,1
1995/8/5 13:00:00,33.1,8,1,0,1,8,1,1.0,0,8,1,4.4,8,ñkñkêº,8,1,,0,1,51,8,1,25.6,8,1
1995/8/5 14:00:00,32.6,8,1,0,1,8,1,1.0,0,8,1,4.8,8,ñkêº,8,1,,0,1,54,8,1,26.6,8,1
1995/8/5 15:00:00,30.8,8,1,0,1,8,1,0.8,0,8,1,3.9,8,ñkñkêº,8,1,,0,1,61,8,1,27.1,8,1
1995/8/5 16:00:00,31.2,8,1,0,1,8,1,0.9,0,8,1,3.1,8,ñkêº,8,1,,0,1,59,8,1,26.9,8,1
1995/8/5 17:00:00,31.1,8,1,0,1,8,1,1.0,0,8,1,3.1,8,ñkñkêº,8,1,,0,1,58,8,1,26.3,8,1
1995/8/5 18:00:00,30.2,8,1,0,1,8,1,0.5,0,8,1,2.1,8,ñkñkêº,8,1,,0,1,61,8,1,26.1,8,1
1995/8/5 19:00:00,29.2,8,1,0,1,8,1,0,1,8,1,2.8,8,ñkñkêº,8,1,,0,1,63,8,1,25.6,8,1
1995/8/5 20:00:00,28.4,8,1,0,1,8,1,0,1,8,1,1.8,8,ñk,8,1,,0,1,69,8,1,26.6,8,1
1995/8/5 21:00:00,26.9,8,1,0,1,8,1,,,0,1,1.9,8,ìÏìå,8,1,,0,1,77,8,1,27.2,8,1
1995/8/5 22:00:00,26.1,8,1,0,1,8,1,,,0,1,2.4,8,ìåìÏìå,8,1,,0,1,78,8,1,26.3,8,1
1995/8/5 23:00:00,26.0,8,1,0,1,8,1,,,0,1,1.4,8,ìÏìå,8,1,,0,1,78,8,1,26.1,8,1
1995/8/6 00:00:00,25.5,8,1,0,1,8,1,,,0,1,0.6,8,ìå,8,1,,0,1,80,8,1,26.1,8,1
1995/8/6 1:00:00,25.1,8,1,0,1,8,1,,,0,1,1.5,8,ìåìÏìå,8,1,,0,1,82,8,1,26.1,8,1
1995/8/6 2:00:00,24.8,8,1,0,1,8,1,,,0,1,1.8,8,ìåìÏìå,8,1,,0,1,82,8,1,25.8,8,1
1995/8/6 3:00:00,24.4,8,1,0,1,8,1,,,0,1,2.8,8,ìåìÏìå,8,1,,0,1,82,8,1,25.2,8,1
1995/8/6 4:00:00,24.7,8,1,0,1,8,1,,,0,1,2.4,8,ìåìÏìå,8,1,,0,1,81,8,1,25.3,8,1
1995/8/6 5:00:00,23.7,8,1,0,1,8,1,,,0,1,2.6,8,ìåìÏìå,8,1,,0,1,85,8,1,24.9,8,1
1995/8/6 6:00:00,23.9,8,1,0,1,8,1,0,1,8,1,2.4,8,ìåìÏìå,8,1,,0,1,85,8,1,25.2,8,1
1995/8/6 7:00:00,26.0,8,1,0,1,8,1,0.9,0,8,1,1.5,8,ìÏìå,8,1,,0,1,81,8,1,27.2,8,1
1995/8/6 8:00:00,28.2,8,1,0,1,8,1,1.0,0,8,1,0.4,8,ìåñkìå,8,1,,0,1,74,8,1,28.4,8,1
1995/8/6 9:00:00,31.2,8,1,0,1,8,1,1.0,0,8,1,0.8,8,ìÏìå,8,1,,0,1,63,8,1,28.4,8,1
1995/8/6 10:00:00,32.5,8,1,0,1,8,1,1.0,0,8,1,2.7,8,ñkñkêº,8,1,,0,1,57,8,1,27.8,8,1
1995/8/6 11:00:00,33.5,8,1,0,1,8,1,1.0,0,8,1,2.6,8,ñkêº,8,1,,0,1,53,8,1,27.2,8,1
1995/8/6 12:00:00,34.7,8,1,0,1,8,1,1.0,0,8,1,3.4,8,ñkñkêº,8,1,,0,1,49,8,1,27.2,8,1
1995/8/6 13:00:00,34.4,8,1,0,1,8,1,1.0,0,8,1,5.6,8,ñkñkêº,8,1,,0,1,47,8,1,25.5,8,1
1995/8/6 14:00:00,34.1,8,1,0,1,8,1,1.0,0,8,1,5.3,8,ñkñkêº,8,1,,0,1,52,8,1,27.6,8,1
1995/8/6 15:00:00,32.2,8,1,0,1,8,1,0.9,0,8,1,4.5,8,ñkñkêº,8,1,,0,1,58,8,1,28.1,8,1
1995/8/6 16:00:00,30.7,8,1,0,1,8,1,0.3,0,8,1,3.3,8,ñk,8,1,,0,1,61,8,1,26.9,8,1
1995/8/6 17:00:00,31.0,8,1,0,1,8,1,0.3,0,8,1,2.6,8,ñkñkêº,8,1,,0,1,58,8,1,26.3,8,1
1995/8/6 18:00:00,30.0,8,1,0,1,8,1,0.4,0,8,1,2.3,8,êºñkêº,8,1,,0,1,62,8,1,26.1,8,1
1995/8/6 19:00:00,29.2,8,1,0,1,8,1,0,1,8,1,0.4,8,ìÏìÏìå,8,1,,0,1,64,8,1,26.1,8,1
1995/8/6 20:00:00,28.2,8,1,0,1,8,1,0,1,8,1,1.1,8,ìÏìå,8,1,,0,1,75,8,1,28.8,8,1
1995/8/6 21:00:00,27.0,8,1,0,1,8,1,,,0,1,2.0,8,ìåìÏìå,8,1,,0,1,76,8,1,27.2,8,1
1995/8/6 22:00:00,26.5,8,1,0,1,8,1,,,0,1,2.3,8,ìÏìå,8,1,,0,1,78,8,1,27.1,8,1
1995/8/6 23:00:00,26.0,8,1,0,1,8,1,,,0,1,2.2,8,ìåìÏìå,8,1,,0,1,78,8,1,26.3,8,1
1995/8/7 00:00:00,25.8,8,1,0,1,8,1,,,0,1,3.0,8,ìÏìå,8,1,,0,1,77,8,1,25.6,8,1
1995/8/7 1:00:00,25.5,8,1,0,1,8,1,,,0,1,2.6,8,ìåìÏìå,8,1,,0,1,80,8,1,26.1,8,1
1995/8/7 2:00:00,25.3,8,1,0,1,8,1,,,0,1,3.2,8,ìåìÏìå,8,1,,0,1,80,8,1,26.0,8,1
1995/8/7 3:00:00,24.6,8,1,0,1,8,1,,,0,1,2.6,8,ìÏìå,8,1,,0,1,81,8,1,25.2,8,1
1995/8/7 4:00:00,24.6,8,1,0,1,8,1,,,0,1,2.0,8,ìåìÏìå,8,1,,0,1,84,8,1,26.0,8,1
1995/8/7 5:00:00,24.2,8,1,0,1,8,1,,,0,1,2.7,8,ìåìÏìå,8,1,,0,1,85,8,1,25.6,8,1
1995/8/7 6:00:00,24.6,8,1,0,1,8,1,0,1,8,1,2.2,8,ìåìÏìå,8,1,,0,1,84,8,1,26.0,8,1
1995/8/7 7:00:00,25.6,8,1,0,1,8,1,0.6,0,8,1,1.1,8,ìåìÏìå,8,1,,0,1,83,8,1,27.2,8,1
1995/8/7 8:00:00,28.3,8,1,0,1,8,1,1.0,0,8,1,1.0,8,ìÏìå,8,1,,0,1,75,8,1,28.9,8,1
1995/8/7 9:00:00,31.5,8,1,0,1,8,1,1.0,0,8,1,1.5,8,ìÏìå,8,1,,0,1,65,8,1,30.0,8,1
1995/8/7 10:00:00,33.4,8,1,0,1,8,1,1.0,0,8,1,2.3,8,ìÏìÏêº,8,1,,0,1,56,8,1,28.6,8,1
1995/8/7 11:00:00,33.6,8,1,0,1,8,1,0.9,0,8,1,1.4,8,ñk,8,1,,0,1,57,8,1,29.5,8,1
1995/8/7 12:00:00,34.3,8,1,0,1,8,1,0.9,0,8,1,4.1,8,ñk,8,1,,0,1,53,8,1,28.6,8,1
1995/8/7 13:00:00,33.3,8,1,0,1,8,1,1.0,0,8,1,6.0,8,ñkñkêº,8,1,,0,1,57,8,1,28.9,8,1
1995/8/7 14:00:00,34.0,8,1,0,1,8,1,0.7,0,8,1,5.0,8,ñkñkêº,8,1,,0,1,56,8,1,29.7,8,1
1995/8/7 15:00:00,32.9,8,1,0,1,8,1,0.7,0,8,1,4.9,8,ñkñkêº,8,1,,0,1,59,8,1,29.7,8,1
1995/8/7 16:00:00,31.9,8,1,0,1,8,1,0.4,0,8,1,3.3,8,ñk,8,1,,0,1,63,8,1,29.7,8,1
1995/8/7 17:00:00,31.9,8,1,0,1,8,1,0.3,0,8,1,0.7,8,ñkñkêº,8,1,,0,1,59,8,1,27.8,8,1
1995/8/7 18:00:00,30.7,8,1,0,1,8,1,0.1,0,8,1,3.4,8,ñkñkìå,8,1,,0,1,63,8,1,27.8,8,1
1995/8/7 19:00:00,29.9,8,1,0,1,8,1,0,1,8,1,1.4,8,ñkìå,8,1,,0,1,67,8,1,28.1,8,1
1995/8/7 20:00:00,28.7,8,1,0,1,8,1,0,1,8,1,1.0,8,ìå,8,1,,0,1,72,8,1,28.4,8,1
1995/8/7 21:00:00,27.7,8,1,0,1,8,1,,,0,1,2.4,8,ìÏìå,8,1,,0,1,76,8,1,28.3,8,1
1995/8/7 22:00:00,27.1,8,1,0,1,8,1,,,0,1,2.0,8,ìå,8,1,,0,1,76,8,1,27.2,8,1
